<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P02000000000DC1;BIO ST JEAN RAVIOLI EPINA250G;;Oui;MEDIASTEP78072990;https://media.auchan.fr/MEDIASTEP78072990_0x0/
P02000000000EC1;REG BIOL ARTIS PANISSE NAT250G;Oui;Oui;MEDIASTEP97934056;https://media.auchan.fr/MEDIASTEP97934056_0x0/
P02000000000ET1;BIOL GAULOIS CROQUE FROM X2;Oui;Oui;MEDIASTEP86979179;https://media.auchan.fr/MEDIASTEP86979179_0x0/
P02000000000ETG;BIO DESSAINT CREP PLT CHED260G;;;MEDIASTEP106850616;https://media.auchan.fr/MEDIASTEP106850616_0x0/
P02000000000ET4;GAULOIS NUGGETS BIO 180G;Oui;Oui;MEDIASTEP102978410;https://media.auchan.fr/MEDIASTEP102978410_0x0/
P02000000000F05;REG BIOL ARTIS TOFU BASIL200G;Oui;Oui;MEDIASTEP97934054;https://media.auchan.fr/MEDIASTEP97934054_0x0/
P02000000000F08;REG BIOL ARTIS GALET TOFU PROV;Oui;Oui;MEDIASTEP97934055;https://media.auchan.fr/MEDIASTEP97934055_0x0/
P02000000000L5C;SOJASUN GALET POIS CHICHE2X90G;Oui;Oui;MEDIASTEP86979182;https://media.auchan.fr/MEDIASTEP86979182_0x0/
P02000000000L5D;SOJASUN BOULETTES PROV 175G;;Oui;MEDIASTEP86979184;https://media.auchan.fr/MEDIASTEP86979184_0x0/
P02000000000LAQ;AUC BIO PIZZA 4 LEGUMES 380G;Oui;;MEDIASTEP106642570;https://media.auchan.fr/MEDIASTEP106642570_0x0/
P02000000000LAT;AUC BIO PIZZA 3 FROMAGES 380G;Oui;;MEDIASTEP89503089;https://media.auchan.fr/MEDIASTEP89503089_0x0/
P02000000000LDU;BIO CEREAL KEFTA CORIANDRE190G;Oui;Oui;MEDIASTEP138892512;https://media.auchan.fr/MEDIASTEP138892512_0x0/
P02000000000LDS;BIO CEREAL FALAFEL POIS CHICH;Oui;Oui;MEDIASTEP138892400;https://media.auchan.fr/MEDIASTEP138892400_0x0/
P02000000000LDP;BIO CEREAL MINI PALET CHEVRE;Oui;Oui;MEDIASTEP138892415;https://media.auchan.fr/MEDIASTEP138892415_0x0/
P02000000000M7R;BIO HAPPY BURGER DELUXE 160G;;Oui;MEDIASTEP140286401;https://media.auchan.fr/MEDIASTEP140286401_0x0/
P02000000000M7J;BIO HAPPY HACHE VEGETAL 250G;;Oui;MEDIASTEP140286413;https://media.auchan.fr/MEDIASTEP140286413_0x0/
P02000000000M7P;BIO HAPPY BURGER SEITAN FROM;;Oui;MEDIASTEP141204626;https://media.auchan.fr/MEDIASTEP141204626_0x0/
P02000000000M7O;BIO HAPPY BURGER TOFU CHAMP;;Oui;MEDIASTEP132337460;https://media.auchan.fr/MEDIASTEP132337460_0x0/
P02000000000M7N;BIO HAPPY BURGER TOFU EPIN;;Oui;MEDIASTEP133885013;https://media.auchan.fr/MEDIASTEP133885013_0x0/
P02000000000MIP;BIO SOJASUN CLUB PANE FROM X2;;;MEDIASTEP87094857;https://media.auchan.fr/MEDIASTEP87094857_0x0/
