"<ID>";"ATPD_00101";"GTIN achat";"ATPDA_72101260";"ATPD_200133"
"AUCH_ACHA_106706221";"A0220100726000038126";"3596710355044";"Eurofeuille";"Yaourt  au lait de brebis à 3% de matière grasse, nature, biologique "
"AUCH_ACHA_106707772";"A0220100413000652328";"3277390002038";"";"YAOURT AU LAIT  SUCRE A LA VANILLE NATURELLE "
"AUCH_ACHA_106707720";"A0220100428000653230";"3184670001165";"";"6 Fromages frais en faisselle au lait (Origine: France) pasteurisé."
"AUCH_ACHA_106707784";"A0220100413000652212";"3428271930043";"";"Lait demi-écrémé enrichi en vitamine D stérilisé UHT"
"AUCH_ACHA_106708277";"A0220100316000650060";"3184670001288";"";"Fromage frais nature en faisselle au lait de vache (Origine: France) écrémé pasteurisé."
"AUCH_ACHA_106708905";"A0220090915000045881";"3596710350001";"";"Dessert lacté à la crème, au caramel et aux oeufs extra frais"
"AUCH_ACHA_106708461";"A0220100120000642782";"3297760097952";"";"Spécialité de Pommes Mirabelles SSA 4x97g"
"AUCH_ACHA_106709415";"A0220090602000010485";"3280249109000";"AB Agriculture biologique;Point vert;Eurofeuille;Agence Bio";"Yaourt à la grecque à base de lait de mélange (vache et brebis) - produit issu de l'agriculture biologique"
"AUCH_ACHA_106709863";"A0220090415000242258";"3596710340675";"";"Lait fermenté au bifidus*, sucré et aromatisé saveur citron * qui apporte au produit son goût unique"
"AUCH_ACHA_106709802";"A0220090415000242785";"3596710340804";"";"Spécialité de fruits - pomme, poire aromatisée sans sucres ajoutés* *contient des sucres naturellement présents"
"AUCH_ACHA_106709820";"A0220090415000242852";"3596710467402";"";"spécialité de mangue et de pomme sans sucres ajoutés* * contient des sucres naturellement présents."
"AUCH_ACHA_106710380";"A0220090223000369507";"3533631606008";"";"Lait demi écrémé stérilisé U.H.T."
"AUCH_ACHA_106710462";"A0220090212000036973";"3596710340811";"";"Fromage frais sucré aux framboises à 5,5% matière grasse."
"AUCH_ACHA_106710616";"A0220081114000021707";"3596710335503";"";"crème entière, sucrée, à l'arôme naturel de vanille, stérilisée UHT, sous pression"
"AUCH_ACHA_106711217";"A0220080620000646305";"3428273070013";"";"Lait demi-écrémé enrichi en vitamine D stérilisé UHT"
"AUCH_ACHA_106711160";"A0220080718000022913";"3596710329175";"";"Choux (7,7%) à la crème pâtissière aromatisée (35,5%) recouverts d’une sauce au chocolat (56,8%)"
"AUCH_ACHA_106712356";"A0220080409000018437";"3277396010013";"";"Yaourt sucré aux fruits, aromatisé 125gx6"
"AUCH_ACHA_106713831";"A0220071220000029997";"3596710287215";"";"Lait fermenté nature au bifidus * * qui apporte au produit son goût unique"
"AUCH_ACHA_106714578";"A0220070808000383066";"3280249800013";"Point vert";"Yaourt au lait de brebis à 3% de matières grasses"
"AUCH_ACHA_106715933";"A0220070302000015006";"3273220535462";"AB Agriculture biologique";"Lait fermenté biologique au Bifidus, sucré, à la vanille"
"AUCH_ACHA_106717082";"A0220060327000547356";"3262970806762";"";"Bibeleskaes fromage blanc sur fraises 4x125g"
