"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"P02000000000ABP";"LES 2 VACHES";"Yaourt bio aux figues et miel brassé";"2x115g"
"P02000000000AF6";"PANIER DE YOPLAIT";"Plus de fruits Yaourt fraise framboise";"4x130g"
"P02000000000AFE";"PANIER DE YOPLAIT";"Yaourt 0% fruits panachés";"16x130g"
"P02000000000AF4";"PANIER DE YOPLAIT";"Plus de fruits Yaourt à la cerise";"4x130g"
"P02000000000AIU";"AUCHAN BIO";"Yaourt arômatisé aux fruits";"12x125g"
"P02000000000AKP";"HIPRO";"Yaourt protéiné 0% MG saveur myrtille";"2x160g"
"P02000000000AU6";"AUCHAN";"Yaourt à la grecque vanille";"4x150g"
"P02000000000BPF";"LES 2 VACHES";"Yaourt à boire aux fruits bio vanille avec paille";"6x100g"
"P02000000000BSX";"LAITERIE LES FAYES";"Fromage blanc des limousins ";"750g"
"P02000000000C0I";"PUR NATUR";"Yaourt brassé aux fruits de forêt bio";"150g"
"P02000000000CCR";"CAZAUBON";"Yaourt nature sucré";"4x125g"
"P02000000000CE4";"CAZAUBON";"Velouté de pomme canelle";"4x125g"
"P02000000000CE8";"CAZAUBON";"Velouté de pomme";"4x125g"
"P02000000000DB5";"AUCHAN";"Lait demi-écrémé";"8x1L"
"P02000000000DJ5";"ELLE & VIRE";"Crème entière épaisse bio";"33cl"
"P02000000000DTI";"LA LAITIERE";"Riz au lait à la vanille";"4x115g"
"P02000000000DTL";"LA LAITIERE";"Semoule au lait à la vanille";"4x115g"
"P02000000000DTS";"LA LAITIERE";"Pot de crème au café";"4x100g"
"P02000000000EW9";"ACTIVIA";"Yaourt au bifidus fraise abricot kiwi et mangue";"8x125g"
"P02000000000EW8";"ACTIVIA";"Yaourt au bifidus ananas rhubarbe pruneau et figues 8x125g";"8x125g"
"P02000000000EWC";"DANONE";"Recette Crémeuse Yaourts aux fruits mirabelles pêches et abricots";"8x125g"
"P02000000000FKT";"FERME DU MOULINET";"Yaourt fermier nature";"4x125g"
"P02000000000G03";"PANIER DE YOPLAIT";"Yaourt aux fruits fraise pêche abricot mûre";"12x130g"
"P02000000000GBH"
"P02000000000GJ0";"LE PETIT VERSAILLAIS";"Yaourt nature sur lit de fruits rouges";"2x125g"
"P02000000000IFI";"OREO";"Gâteau original au lait";"4x32g"
"P02000000000IID";"VELOUTE FRUIX";"Velouté fruix yaourts aux fruits jaunes brassé";"8x125g"
"P02000000000IL7";"AUCHAN";"Yaourt de Savoie sur lit de fruits rouges fraise et myrtille";"4x125g"
"P02000000000KC3";"DANETTE";"Crème dessert végétale chocolat base coco";"400g"
"P02000000000LMK";"BRIDELICE";"Crème fouettée légère 20% UHT ";"250g"
"P02000000000NUW";"AUCHAN BIO";"Crème fluide entière 30% MG UHT Filière Responsable";"3x20cl"
"P02000000000NV2";"AUCHAN";"Crème fluide légère 15%MG UHT Filière responsable";"3x20cl"
"P02000000000OQR";"LACTEL";"Max Boisson lactée aromatisée à la fraise 6x20cl";"6x20cl"
"P02000000000Q5Z";"GERENTES";"Fromage blanc au lait de montagne 7,8% MG";"500g"
"P02000000000SNK";"INVITATION A LA FERME";"Crème dessert bio au chocolat";"4x100g"
"P02000000000SPT";"PANIER DE YOPLAIT";"Yaourt smoothie bowl à la mangue, passion et au curcuma";"4x110g"
"P02000000000SRK";"PTIT YOP";"Yaourt à boire à la vanille";"6x180g"
"P02000000000STT";"LIBERTE";"Yaourt crémeux sur lit de  caramel beurre salé";"2x165g"
"P02000000000TJH";"FERME ADAM";"Biebeleskäs fromage blanc ail et fines herbes";"500g"
"P02000000000UGX";"MONT LAIT";"Lait demi-écrémé UHT de montagne ";"1l"
"P02000000000UJA";"LA FROMAGÉE DU BERRY";"Fromage blanc de campagne 7% MG";"2kg"
"P02000000000UT1";"FROMAGERIE MAURICE";"Yaourt brassé au lait entier à la myrtille";"4x125g"
"P02000000000UXR";"LE VIENNOIS";"Yaourt panaché chocolat et café";"8x100g"
"P02000000000V3I";"LIBERTE";"Yaourt à la grecque sur lit à la mangue texture crèmeuse";"4x100g"
"P02000000000VS2";"ANDROS";"Gourmand & Végétal -Liégeois au lait d'amande et au chocolat";"4x90g"
"P02000000000W5A";"DANETTE";"Crème dessert caramel";" 4x125g "
"P02000000000W81";"DAIM";"Cheesecake vanille et chocolat recouvert d'éclats de daim";"2x85g"
"P02000000000XYA";"DELTA";"Yaourt grec authentique nature 5% MG";"1kg"
"P02000000000Y24";"DOMAINE DE GRIGNON";"Yaourt à la poire pot en verre";"2x125g"
"P02000000000Y20";"DOMAINE DE GRIGNON";"Yaourt à la vanille pot en verre";"2x125g"
"P02000000000Y1R";"DOMAINE DE GRIGNON";"Fromage blanc lissé 7% MG ";"500g"
"P02000000000Y25";"DOMAINE DE GRIGNON";"Crème dessert au caramel pot en verre ";"2x125g"
