cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
A0219960301000044734,44734,3340040000200,REG LEDUC MIGNONS BTE AOC 380G,MEDIASTEP94315672,https://media.auchan.fr/MEDIASTEP94315672_0x0/
A0220120201000395243,395243,3297760019022,CA SS POMME PECHE 4X100G PROMO,MEDIASTEP76866413,https://media.auchan.fr/MEDIASTEP76866413_0x0/
A0220050124000508856,508856,3178040584679,DIADERMINE SAVONDERMATOLOGIQUE 100G,MEDIASTEP91097698,https://media.auchan.fr/MEDIASTEP91097698_0x0/
A0220000801000803533,803533,3279231149001;3279231149001,FERMIERE YAOURT VAN POT 2X140G,MEDIASTEP138433631,https://media.auchan.fr/MEDIASTEP138433631_0x0/
P02000000000PWH,928555,8411114085906,FROZEN II DOUCHE 300 ML,MEDIASTEP108021124,https://media.auchan.fr/MEDIASTEP108021124_0x0/
A0220180619000258665,258665,3290370006079,DAMOISEAU ARRANGE MANGUEPASSION 30D 70CL,MEDIASTEP101391488,https://media.auchan.fr/MEDIASTEP101391488_0x0/
A0220141103000514372,514372,3760092457485,WAI WAI NOUILLES THAILANDAISEBOEUF SACHETS 3X60G,MEDIASTEP140424723,https://media.auchan.fr/MEDIASTEP140424723_0x0/
A0220011008000051693,51693,3254560516939,PIERRE CHANAU BLAYE COTES DEBORDEAUX 75CL,MEDIASTEP65502706,https://media.auchan.fr/MEDIASTEP65502706_0x0/
A0220181128000454610,454610,3011932000843,"MARTINI ROSATO 14,4D 1L",MEDIASTEP72143135,https://media.auchan.fr/MEDIASTEP72143135_0x0/
P020000000009FQ,305533,2898063000000,BIO MELANGE SUPERFRUITS VRAC,MEDIASTEP131383063,https://media.auchan.fr/MEDIASTEP131383063_0x0/
P02000000000DHS,324322,3423183692416,BIO THOMAS LE PRINCE GOURDES ABOIRE POMME FRAMBOISE 8X100G,MEDIASTEP151248484,https://media.auchan.fr/MEDIASTEP151248484_0x0/
A0220141229000802258,802258,3253331501044,CRUSCANA CAVIAR AUBERGINE 150G,MEDIASTEP141858553,https://media.auchan.fr/MEDIASTEP141858553_0x0/
P02000000000KZ6,916095,3484703000104,LANCELOT BREIZH LIM 6X33CL,MEDIASTEP160264315,https://media.auchan.fr/MEDIASTEP160264315_0x0/
A0220130220000418016,418016,8711200584383,MAILLE VINAIGRETTE SESAME ETSOJA 360ML,MEDIASTEP139028716,https://media.auchan.fr/MEDIASTEP139028716_0x0/
P020000000019TC,171344,3329770079335,YAB PAT PATROUIL VANIL 4X180G,MEDIASTEP159832325,https://media.auchan.fr/MEDIASTEP159832325_0x0/
A0220180406000769260,769260,3188720003840,BIO LE TRESOR DES DIEUX 1/6SARDINES AUX ALGUES 115G,MEDIASTEP156779304,https://media.auchan.fr/MEDIASTEP156779304_0x0/
A0219970320000060990,60990,3254560609907;3596710475520,AUCHAN COCOCRACK 375G,MEDIASTEP80202716,https://media.auchan.fr/MEDIASTEP80202716_0x0/
A0220081124000992705,992705,3046920029759,LINDT EXCELLENCE NOIR 90% TAB100G,MEDIASTEP139677993,https://media.auchan.fr/MEDIASTEP139677993_0x0/
A0220160127000185965,185965,3271912000755,JENLAIN BIERE AMBREEL ORIGINALE 7.5D 75CL,MEDIASTEP137275482,https://media.auchan.fr/MEDIASTEP137275482_0x0/
A0219970925000084903,84903,8000500035184,KINDER SURPRISE T4 80G,MEDIASTEP137292952,https://media.auchan.fr/MEDIASTEP137292952_0x0/
P02000000000O14,924615,9001400103576,BIOL PAGO ORANGE CAROTTECITRON PET 75CL,MEDIASTEP97934174,https://media.auchan.fr/MEDIASTEP97934174_0x0/
P02000000000H9N,362374,4008429121494,CRAVE CHIEN DINDE POULET ADULTE 1KG,MEDIASTEP103794990,https://media.auchan.fr/MEDIASTEP103794990_0x0/
A0220181024000987263,987263,3245678169506,AUC BIO CAFE MOULU MEXIQUE250G,MEDIASTEP66473505,https://media.auchan.fr/MEDIASTEP66473505_0x0/
A0220050728000038612,38612,2030500386128;2030500386128,PAIN CHOCO X5 SURG,MEDIASTEP59385816,https://media.auchan.fr/MEDIASTEP59385816_0x0/
P02000000000M4O,919275,3107460009233,CLEMENT RHUM AMBRE AGRICOLEAOP 40D 70CL,MEDIASTEP122701899,https://media.auchan.fr/MEDIASTEP122701899_0x0/
P02000000000G0G,346168,5054563077080,SENSODYNE DENTIFRICE SOINBLANCHEUR 2X75 ML,MEDIASTEP88388963,https://media.auchan.fr/MEDIASTEP88388963_0x0/
